ID	SENTENCE_ID	YEAR	TEXT	GENRE	CLAUSE_TYPE	SUBJTOP-V	V-SUBJTOP	XP-V-SUBJTOP
174	1150.HOMILIUBOK.REL-SER,.1424	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
175	1150.HOMILIUBOK.REL-SER,.1426	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
176	1150.HOMILIUBOK.REL-SER,.142	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
177	1150.HOMILIUBOK.REL-SER,.1441	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
178	1150.HOMILIUBOK.REL-SER,.1445	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
179	1150.HOMILIUBOK.REL-SER,.1446	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
180	1150.HOMILIUBOK.REL-SER,.144	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
181	1150.HOMILIUBOK.REL-SER,.1458	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
182	1150.HOMILIUBOK.REL-SER,.1458	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
183	1150.HOMILIUBOK.REL-SER,.1460	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	1	0
184	1150.HOMILIUBOK.REL-SER,.1464	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
185	1150.HOMILIUBOK.REL-SER,.1469	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
186	1150.HOMILIUBOK.REL-SER,.1470	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
187	1150.HOMILIUBOK.REL-SER,.1472	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
188	1150.HOMILIUBOK.REL-SER,.1473	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	1	0
189	1150.HOMILIUBOK.REL-SER,.1477	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
190	1150.HOMILIUBOK.REL-SER,.1478	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
191	1150.HOMILIUBOK.REL-SER,.1479	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
192	1150.HOMILIUBOK.REL-SER,.147	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
193	1150.HOMILIUBOK.REL-SER,.149	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
194	1150.HOMILIUBOK.REL-SER,.14	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
195	1150.HOMILIUBOK.REL-SER,.1503	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
196	1150.HOMILIUBOK.REL-SER,.1508	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	1	0
197	1150.HOMILIUBOK.REL-SER,.1510	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
198	1150.HOMILIUBOK.REL-SER,.1517	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
199	1150.HOMILIUBOK.REL-SER,.1524	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
200	1150.HOMILIUBOK.REL-SER,.1527	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
201	1150.HOMILIUBOK.REL-SER,.1528	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
202	1150.HOMILIUBOK.REL-SER,.152	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	1	0
203	1150.HOMILIUBOK.REL-SER,.1534	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
204	1150.HOMILIUBOK.REL-SER,.1546	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
205	1150.HOMILIUBOK.REL-SER,.1547	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
206	1150.HOMILIUBOK.REL-SER,.1563	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
207	1150.HOMILIUBOK.REL-SER,.1565	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
208	1150.HOMILIUBOK.REL-SER,.156	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
209	1150.HOMILIUBOK.REL-SER,.1574	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
210	1150.HOMILIUBOK.REL-SER,.1576	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
211	1150.HOMILIUBOK.REL-SER,.1579	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
212	1150.HOMILIUBOK.REL-SER,.1592	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
213	1150.HOMILIUBOK.REL-SER,.1596	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
214	1150.HOMILIUBOK.REL-SER,.159	1150	HOMILIUBOK	REL	IP-MAT-SPE	1	0	0
215	1150.HOMILIUBOK.REL-SER,.1600	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
216	1150.HOMILIUBOK.REL-SER,.1601	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
217	1150.HOMILIUBOK.REL-SER,.1604	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
218	1150.HOMILIUBOK.REL-SER,.1606	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
219	1150.HOMILIUBOK.REL-SER,.161	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
220	1150.HOMILIUBOK.REL-SER,.1623	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
221	1150.HOMILIUBOK.REL-SER,.1627	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
222	1150.HOMILIUBOK.REL-SER,.1631	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
223	1150.HOMILIUBOK.REL-SER,.1635	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
224	1150.HOMILIUBOK.REL-SER,.1638	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
225	1150.HOMILIUBOK.REL-SER,.1639	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
226	1150.HOMILIUBOK.REL-SER,.163	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
227	1150.HOMILIUBOK.REL-SER,.1643	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
228	1150.HOMILIUBOK.REL-SER,.1644	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
229	1150.HOMILIUBOK.REL-SER,.1646	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
230	1150.HOMILIUBOK.REL-SER,.164	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
231	1150.HOMILIUBOK.REL-SER,.1653	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
232	1150.HOMILIUBOK.REL-SER,.1659	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
233	1150.HOMILIUBOK.REL-SER,.1660	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
234	1150.HOMILIUBOK.REL-SER,.1675	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
235	1150.HOMILIUBOK.REL-SER,.1676	1150	HOMILIUBOK	REL	IP-MAT-SPE	0	0	1
236	1150.HOMILIUBOK.REL-SER,.1692	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
237	1150.HOMILIUBOK.REL-SER,.1706	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
238	1150.HOMILIUBOK.REL-SER,.1708	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
239	1150.HOMILIUBOK.REL-SER,.1717	1150	HOMILIUBOK	REL	IP-MAT	0	0	1
240	1150.HOMILIUBOK.REL-SER,.1718	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
241	1150.HOMILIUBOK.REL-SER,.1719	1150	HOMILIUBOK	REL	IP-MAT	1	0	0
242	1150.HOMILIUBOK.REL-SER,.1720	1150	HOMILIUBOK	REL	IP-MAT	0	1	0
